Bigram                        		Count          		Probabiltites
Richard W.                    		3.0            		5.3314376E-4
W. Lock                       		2.0            		3.558086E-4
Lock ,                        		2.0            		3.5669698E-4
, retired                     		5.0            		6.55308E-4
retired vice                  		2.0            		3.5618877E-4
vice president                		12.0           		0.0021193924
president and                 		46.0           		0.008075843
and treasurer                 		3.0            		4.774789E-4
treasurer of                  		2.0            		3.565698E-4
of Owens-Illinois             		2.0            		3.056235E-4
Owens-Illinois Inc.           		2.0            		3.5669698E-4
Inc. ,                        		31.0           		0.0054799365
, was                         		52.0           		0.006815203
was named                     		43.0           		0.0074381595
named a                       		11.0           		0.0019424333
a director                    		25.0           		0.004040078
director of                   		21.0           		0.003716814
of this                       		54.0           		0.008251834
this transportation           		3.0            		5.2659295E-4
transportation industry       		2.0            		3.564427E-4
industry supplier             		2.0            		3.5599858E-4
supplier ,                    		2.0            		3.5669698E-4
, increasing                  		14.0           		0.0018348624
increasing its                		4.0            		7.117438E-4
its board                     		35.0           		0.006102877
board to                      		20.0           		0.003348962
to six                        		6.0            		9.592326E-4
six members                   		3.0            		5.342832E-4
members .                     		17.0           		0.0030109813
. John                        		10.0           		0.0015140045
John J.                       		3.0            		5.3106743E-4
J. Phelan                     		2.0            		3.5511365E-4
Phelan Jr.                    		2.0            		3.565698E-4
Jr. ,                         		28.0           		0.004969826
, chairman                    		188.0          		0.02463958
chairman of                   		226.0          		0.036688313
of the                        		267.0          		0.040800735
the Big                       		5.0            		7.10631E-4
Big Board                     		6.0            		0.0010691376
Board ,                       		4.0            		7.1123755E-4
, asserts                     		2.0            		2.621232E-4
asserts that                  		2.0            		3.5669698E-4
that ``                       		8.0            		0.0013644892
`` 1988                       		2.0            		3.4164675E-4
1988 and                      		2.0            		3.565698E-4
and 1989                      		2.0            		3.1831927E-4
1989 have                     		2.0            		3.566334E-4
have been                     		8.0            		0.0014124294
been two                      		2.0            		3.543586E-4
two of                        		2.0            		3.548616E-4
of the                        		267.0          		0.040800735
the least                     		3.0            		4.2637862E-4
least volatile                		2.0            		3.563792E-4
volatile years                		2.0            		3.5669698E-4
years in                      		2.0            		3.536068E-4
in the                        		93.0           		0.015590947
the last                      		5.0            		7.10631E-4
last 30                       		2.0            		3.546728E-4
30 or                         		2.0            		3.565698E-4
or 40                         		2.0            		3.5323208E-4
40 years                      		3.0            		5.348547E-4
years .                       		7.0            		0.0012376237
. ''                          		65.0           		0.0098410295
'' In                         		5.0            		8.552857E-4
In January                    		3.0            		5.309734E-4
January ,                     		4.0            		7.127584E-4
, American                    		2.0            		2.621232E-4
American Medical              		3.0            		5.3304905E-4
Medical brought               		2.0            		3.566334E-4
brought in                    		2.0            		3.5650624E-4
in a                          		24.0           		0.0040234705
a new                         		21.0           		0.0033936652
new chief                     		4.0            		7.0521864E-4
chief executive               		165.0          		0.028467909
executive officer             		115.0          		0.019844694
officer ,                     		57.0           		0.009928584
, Richard                     		3.0            		3.931848E-4
Richard A.                    		2.0            		3.554292E-4
A. Gilleland                  		2.0            		3.554292E-4
Gilleland ,                   		2.0            		3.5669698E-4
, 45                          		4.0            		5.242464E-4
45 ,                          		2.0            		3.564427E-4
, who                         		64.0           		0.008387943
who will                      		9.0            		0.0015778401
will remain                   		14.0           		0.0024475525
remain as                     		2.0            		3.553029E-4
as chairman                   		26.0           		0.004517026
chairman ,                    		93.0           		0.015097403
, president                   		36.0           		0.0047182175
president and                 		46.0           		0.008075843
and chief                     		158.0          		0.025147222
chief executive               		165.0          		0.028467909
executive .                   		11.0           		0.0018981881
. Ralph                       		2.0            		3.028009E-4
Ralph T.                      		2.0            		3.5650624E-4
T. Linsley                    		2.0            		3.5612535E-4
Linsley ,                     		2.0            		3.5669698E-4
, vice                        		17.0           		0.0022280472
vice chairman                 		44.0           		0.0077711055
chairman of                   		226.0          		0.036688313
of Eagle                      		3.0            		4.584352E-4
Eagle ,                       		3.0            		5.3495006E-4
, will                        		22.0           		0.0028833551
will become                   		9.0            		0.0015734265
become vice                   		4.0            		7.1212393E-4
vice chairman                 		44.0           		0.0077711055
chairman of                   		226.0          		0.036688313
of Webster\/Eagle             		2.0            		3.056235E-4
Webster\/Eagle .              		3.0            		5.3495006E-4
. Orkem                       		2.0            		3.028009E-4
Orkem declined                		2.0            		3.5669698E-4
declined to                   		4.0            		7.128854E-4
to give                       		8.0            		0.0012789768
give details                  		2.0            		3.5599858E-4
details of                    		2.0            		3.566334E-4
of its                        		30.0           		0.004584352
its offer                     		5.0            		8.718396E-4
offer ,                       		3.0            		5.322924E-4
, saying                      		6.0            		7.863696E-4
saying only                   		2.0            		3.5612535E-4
only that                     		2.0            		3.557453E-4
that the                      		53.0           		0.009039741
the bid                       		3.0            		4.2637862E-4
bid will                      		2.0            		3.549246E-4
will be                       		25.0           		0.0043706293
be submitted                  		2.0            		3.500175E-4
submitted for                 		2.0            		3.5669698E-4
for approval                  		2.0            		3.471017E-4
approval by                   		3.0            		5.345688E-4
by the                        		44.0           		0.00766417
the board                     		145.0          		0.0206083
board of                      		28.0           		0.0046885465
of the                        		267.0          		0.040800735
the British                   		6.0            		8.5275725E-4
British company               		2.0            		3.558719E-4
company .                     		23.0           		0.003997914
. But                         		27.0           		0.0040878123
But in                        		2.0            		3.549246E-4
in 1935                       		2.0            		3.352892E-4
1935 ,                        		2.0            		3.5669698E-4
, when                        		12.0           		0.0015727392
when Congress                 		2.0            		3.5498757E-4
Congress was                  		3.0            		5.342832E-4
was trying                    		2.0            		3.459609E-4
trying to                     		9.0            		0.001603135
to find                       		4.0            		6.394884E-4
find someone                  		2.0            		3.565698E-4
someone or                    		2.0            		3.566334E-4
or something                  		2.0            		3.5323208E-4
something to                  		2.0            		3.563157E-4
to blame                      		2.0            		3.197442E-4
blame for                     		2.0            		3.5669698E-4
for the                       		41.0           		0.007115585
the Great                     		2.0            		2.8425243E-4
Great Depression              		2.0            		3.5650624E-4
Depression ,                  		2.0            		3.5669698E-4
, it                          		13.0           		0.0017038007
it decided                    		2.0            		3.5063113E-4
decided to                    		5.0            		8.9078926E-4
to drop                       		3.0            		4.796163E-4
drop both                     		2.0            		3.5618877E-4
both the                      		3.0            		5.345688E-4
the secretary                 		3.0            		4.2637862E-4
secretary and                 		2.0            		3.563792E-4
and the                       		41.0           		0.006525545
the comptroller               		3.0            		4.2637862E-4
comptroller from              		2.0            		3.566334E-4
from the                      		23.0           		0.0040436005
the board                     		145.0          		0.0206083
board .                       		58.0           		0.009711989
. Treasury                    		2.0            		3.028009E-4
Treasury Undersecretary       		2.0            		3.5599858E-4
Undersecretary David          		2.0            		3.566334E-4
David Mulford                 		2.0            		3.5555556E-4
Mulford ,                     		2.0            		3.5669698E-4
, for                         		7.0            		9.174312E-4
for instance                  		2.0            		3.471017E-4
instance ,                    		2.0            		3.5669698E-4
, was                         		52.0           		0.006815203
was at                        		3.0            		5.189414E-4
at a                          		17.0           		0.00297932
a meeting                     		3.0            		4.848093E-4
meeting of                    		2.0            		3.5536604E-4
of the                        		267.0          		0.040800735
the Business                  		4.0            		5.6850485E-4
Business Council              		4.0            		7.1250444E-4
Council in                    		2.0            		3.5618877E-4
in Hot                        		2.0            		3.352892E-4
Hot Springs                   		2.0            		3.5669698E-4
Springs ,                     		2.0            		3.5669698E-4
, Va.                         		2.0            		2.621232E-4
Va. ,                         		2.0            		3.5669698E-4
, when                        		12.0           		0.0015727392
when the                      		7.0            		0.0012424565
the stock                     		9.0            		0.0012791358
stock market                  		5.0            		8.855827E-4
market fell                   		2.0            		3.5391966E-4
fell ,                        		2.0            		3.5650624E-4
, and                         		89.0           		0.011664483
and remained                  		2.0            		3.1831927E-4
remained there                		2.0            		3.5669698E-4
there through                 		2.0            		3.5561877E-4
through the                   		10.0           		0.0017780939
the following                 		2.0            		2.8425243E-4
following day                 		2.0            		3.566334E-4
day .                         		2.0            		3.5618877E-4
. He                          		31.0           		0.004693414
He will                       		6.0            		0.0010636412
will remain                   		14.0           		0.0024475525
remain chairman               		6.0            		0.0010659087
chairman .                    		38.0           		0.006168831
. The                         		122.0          		0.018470855
The memo                      		2.0            		3.4734284E-4
memo attempts                 		2.0            		3.566334E-4
attempts to                   		3.0            		5.3495006E-4
to remove                     		3.0            		4.796163E-4
remove the                    		2.0            		3.566334E-4
the tourist                   		4.0            		5.6850485E-4
tourist board                 		4.0            		7.131396E-4
board as                      		5.0            		8.372405E-4
as far                        		2.0            		3.4746353E-4
far as                        		2.0            		3.564427E-4
as possible                   		2.0            		3.4746353E-4
possible from                 		2.0            		3.565698E-4
from the                      		23.0           		0.0040436005
the agency                    		7.0            		9.948835E-4
agency ,                      		2.0            		3.558719E-4
, which                       		38.0           		0.0049803406
